name,r2_score_train,r2_score_test,rmse_train,rmse_test,mape_train,mape_test
Support Vector Machines,0.995449629291386,0.33381942742785,642.2669793406694,2330.0167202200814,0.013016035161775972,0.026860427250357845
XGB Regressor,0.9993621587297965,-7.218797935099785,240.46313938203525,8184.029899875298,0.006255699998747582,0.11206748262141841
KNeighbors Regressor,0.9707225364215288,-31.85826390954812,1629.141960085659,16363.845201909911,0.031683001603116316,0.23662747456195224
Bagging Regressor,0.8156961504615706,-117.32675600544395,4087.515457246856,31053.06947335649,0.09403401034368278,0.44797640635081565
